name,height,weight,reach,stance,age,dob,wins,losses,draws,height,weight,reach,str_landed_per_min,str_acc,str_absorb_per_min,str_def,td_avg,td_acc,td_def,sub_avg,win_percentage
Alan Belcher,1.88,185.0,1.85,Orthodox,29.01,1984-04-24,17,7,0,1.88,185.0,1.85,3.67,0.46,4.69,0.54,0.33,0.25,0.36,1.3,0.71
Alan Jouban,1.83,170.0,1.85,Southpaw,37.38,1981-11-25,16,7,0,1.83,170.0,1.85,4.3,0.47,3.04,0.4,1.0,0.43,0.5,0.0,0.7
Alan Omer,1.78,145.0,1.8,Orthodox,26.76,1988-09-14,18,5,0,1.78,145.0,1.8,5.77,0.65,4.87,0.52,1.69,0.43,0.33,0.0,0.78
Alan Patrick,1.8,155.0,1.88,Southpaw,35.22,1983-07-19,15,2,0,1.8,155.0,1.88,4.79,0.69,4.51,0.75,4.37,0.46,0.4,0.46,0.88
Albert Cheng,1.8,170.0,1.8,Orthodox,29.06,1985-02-07,2,4,0,1.8,170.0,1.8,1.0,0.42,3.0,0.32,0.0,0.0,0.0,0.0,0.33
Albert Morales,1.75,135.0,1.83,Orthodox,26.75,1991-05-25,7,4,1,1.75,135.0,1.83,5.05,0.41,6.64,0.57,0.76,0.43,0.36,0.0,0.58
Albert Tumenov,1.8,170.0,1.85,Orthodox,24.79,1991-12-26,17,4,0,1.8,170.0,1.85,4.43,0.42,4.15,0.42,0.0,0.0,0.2,0.0,0.81
Alberta Cerra Leon,1.73,238.0,1.73,0,10.77,1983-06-02,0,1,0,1.73,238.0,1.73,0.91,0.82,2.03,0.91,0.0,0.0,1.0,0.0,0.0
Alberto Crane,1.65,155.0,1.65,Orthodox,31.53,1976-07-14,15,5,0,1.65,155.0,1.65,1.39,0.5,7.15,0.63,0.0,0.0,0.5,4.0,0.75
Alberto Mina,1.83,170.0,1.96,Orthodox,36.03,1982-05-02,13,1,0,1.83,170.0,1.96,4.07,0.43,4.73,0.57,1.85,0.21,0.5,0.0,0.93
Alberto Uda,1.91,185.0,1.96,Orthodox,32.03,1984-08-08,9,2,0,1.91,185.0,1.96,4.62,0.73,7.92,0.65,2.83,0.5,0.33,0.0,0.82
Alejandro Perez,1.68,135.0,1.7,Orthodox,29.84,1989-09-02,22,8,1,1.68,135.0,1.7,4.02,0.37,3.16,0.37,0.27,0.12,0.17,0.0,0.71
Aleksa Camur,1.85,205.0,1.88,Orthodox,24.32,1995-09-25,6,0,0,1.85,205.0,1.88,5.87,0.51,4.0,0.41,1.0,0.5,0.0,0.0,1.0
Aleksandar Rakic,1.93,205.0,1.98,Orthodox,27.87,1992-02-06,12,2,0,1.93,205.0,1.98,9.23,0.65,4.17,0.6,1.2,0.29,0.12,0.3,0.86
Aleksei Kunchenko,1.73,170.0,1.78,Orthodox,35.87,1984-05-02,20,2,0,1.73,170.0,1.78,6.82,0.59,3.38,0.4,0.25,0.33,0.19,0.0,0.91
Aleksei Oleinik,1.88,240.0,2.03,Orthodox,42.58,1977-06-20,58,13,1,1.88,240.0,2.03,5.64,0.61,4.29,0.64,2.89,0.36,0.5,3.61,0.81
Alen Amedovski,1.78,185.0,1.88,Orthodox,31.48,1988-04-06,8,2,0,1.78,185.0,1.88,0.52,0.29,7.59,0.74,0.0,0.0,1.0,0.0,0.8
Alessandro Ricci,1.8,155.0,1.75,Orthodox,34.59,1982-07-21,10,5,0,1.8,155.0,1.75,5.27,0.59,3.35,0.4,0.0,0.0,0.36,0.0,0.67
Alessio Di Chirico,1.83,185.0,1.88,Orthodox,29.79,1989-12-12,12,4,0,1.83,185.0,1.88,4.04,0.49,6.45,0.56,1.38,0.38,0.17,0.0,0.75
Alessio Sakara,1.83,185.0,1.83,Orthodox,32.15,1981-09-02,19,11,0,1.83,185.0,1.83,4.48,0.57,6.68,0.55,0.6,1.0,0.67,0.0,0.63
Alex Andrade,1.8,200.0,1.8,Orthodox,26.07,1974-05-14,10,5,0,1.8,200.0,1.8,5.24,0.67,2.8,0.8,0.0,0.0,0.0,0.0,0.67
Alex Caceres,1.78,145.0,1.85,Southpaw,31.08,1988-06-20,15,12,0,1.78,145.0,1.85,4.49,0.47,4.51,0.39,0.0,0.0,0.4,0.29,0.56
Alex Chambers,1.6,115.0,1.6,0,39.91,1978-10-25,5,5,0,1.6,115.0,1.6,4.97,0.62,10.64,0.61,2.22,0.38,0.46,1.11,0.5
Alex Da Silva,1.73,155.0,1.85,Orthodox,23.51,1996-02-04,21,2,0,1.73,155.0,1.85,4.23,0.64,3.32,0.67,2.59,0.57,0.33,0.0,0.91
Alex Garcia,1.75,170.0,1.83,Orthodox,31.29,1987-07-14,15,6,0,1.75,170.0,1.83,2.32,0.36,4.39,0.54,2.63,0.4,0.25,0.26,0.71
Alex Gorgees,1.88,155.0,1.88,Switch,23.31,1995-08-11,7,1,0,1.88,155.0,1.88,1.47,0.51,6.87,0.75,0.0,0.0,0.45,0.0,0.88
Alex Hunter,1.75,226.0,1.75,Orthodox,8.82,1988-12-22,2,0,0,1.75,226.0,1.75,2.48,0.65,1.93,0.74,2.07,0.33,1.0,0.0,1.0
Alex Karalexis,1.73,155.0,1.68,Orthodox,28.32,1977-09-20,10,6,0,1.73,155.0,1.68,3.24,0.41,4.8,0.57,0.78,0.2,0.25,2.35,0.62
Alex Morono,1.8,170.0,1.83,Orthodox,29.48,1990-08-16,17,6,0,1.8,170.0,1.83,5.53,0.42,4.14,0.46,0.0,0.0,0.73,0.61,0.74
Alex Nicholson,1.93,185.0,2.06,Orthodox,27.07,1990-05-02,7,4,0,1.93,185.0,2.06,4.26,0.44,7.04,0.6,0.0,0.0,0.5,0.53,0.64
Alex Oliveira,1.8,170.0,1.93,Orthodox,32.04,1988-02-21,20,8,1,1.8,170.0,1.93,3.71,0.53,4.06,0.62,1.09,0.33,0.38,0.0,0.69
Alex Perez,1.68,125.0,1.65,Orthodox,27.85,1992-03-21,23,5,0,1.68,125.0,1.65,8.4,0.61,4.33,0.47,3.47,0.48,0.0,1.39,0.82
Alex Reyes,1.8,170.0,1.85,Orthodox,30.96,1986-10-02,13,3,0,1.8,170.0,1.85,4.55,0.46,8.33,0.61,0.0,0.0,0.0,0.0,0.81
Alex Soto,1.73,135.0,1.8,Southpaw,28.25,1984-02-15,6,2,1,1.73,135.0,1.8,3.26,0.27,5.65,0.43,2.82,0.3,0.0,0.0,0.67
Alex Stiebling,1.88,205.0,1.88,Southpaw,17.0,1983-11-17,18,11,1,1.88,205.0,1.88,3.8,0.9,6.8,0.87,0.0,0.0,0.5,1.5,0.6
Alex Torres,1.78,145.0,1.78,Orthodox,26.75,1988-05-29,2,2,0,1.78,145.0,1.78,2.67,0.39,4.07,0.39,2.0,0.22,0.5,0.0,0.5
Alex White,1.83,155.0,1.8,Southpaw,31.01,1988-10-22,13,6,0,1.83,155.0,1.8,5.35,0.53,4.1,0.52,0.8,0.2,0.23,0.8,0.68
Alexa Grasso,1.65,115.0,1.68,Orthodox,26.12,1993-08-09,11,3,0,1.65,115.0,1.68,7.91,0.49,5.55,0.44,0.0,0.0,0.41,0.72,0.79
Alexander Gustafsson,1.96,205.0,2.01,Orthodox,32.38,1987-01-15,18,6,0,1.96,205.0,2.01,5.22,0.5,4.96,0.53,1.16,0.39,0.18,0.0,0.75
Alexander Hernandez,1.75,155.0,1.83,Orthodox,26.8,1992-10-01,11,2,0,1.75,155.0,1.83,4.44,0.5,3.81,0.54,1.52,0.31,0.43,0.0,0.85
Alexander Volkanovski,1.68,145.0,1.8,Orthodox,31.21,1988-09-29,21,1,0,1.68,145.0,1.8,7.39,0.58,4.13,0.47,0.81,0.18,0.29,0.61,0.95
Alexander Volkov,2.01,250.0,2.03,Orthodox,31.04,1988-10-24,31,7,0,2.01,250.0,2.03,7.79,0.63,3.4,0.44,1.0,0.83,0.19,0.0,0.82
Alexander Yakovlev,1.91,155.0,1.88,Southpaw,35.31,1984-07-18,24,9,1,1.91,155.0,1.88,1.99,0.59,5.59,0.61,2.05,0.5,0.55,0.29,0.71
Alexandra Albu,1.57,115.0,1.6,Orthodox,29.28,1990-07-14,7,2,0,1.57,115.0,1.6,6.09,0.51,7.96,0.68,2.27,0.5,0.22,0.38,0.78
Alexandre Barros,1.75,170.0,1.75,Southpaw,32.16,1976-11-19,18,8,0,1.75,170.0,1.75,1.6,0.52,6.26,0.72,1.84,0.5,0.0,0.0,0.69
Alexandre Dantas,1.88,238.0,1.88,Orthodox,24.0,1979-03-01,0,2,0,1.88,238.0,1.88,1.45,0.42,4.28,0.65,1.74,0.13,0.0,0.87,0.0
Alexandre Ferreira,1.7,205.0,1.7,Orthodox,31.55,1979-04-25,18,6,0,1.7,205.0,1.7,3.86,0.69,14.16,0.69,0.0,0.0,1.0,0.0,0.75
Alexandre Pantoja,1.65,125.0,1.7,Orthodox,29.68,1990-04-16,22,4,0,1.65,125.0,1.7,5.89,0.51,4.2,0.48,1.14,0.25,0.33,0.76,0.85
Alexis Davis,1.68,125.0,1.73,Orthodox,34.81,1984-10-04,19,10,0,1.68,125.0,1.73,7.53,0.58,6.69,0.54,0.6,0.27,0.73,0.8,0.66
Alexis Dufresne,1.75,135.0,1.73,Orthodox,24.34,1990-08-31,5,4,0,1.75,135.0,1.73,2.2,0.27,5.73,0.39,0.0,0.0,0.0,0.0,0.56
Alfonso Alcarez,1.6,145.0,1.6,0,29.29,1970-06-10,1,3,1,1.6,145.0,1.6,6.9,0.68,6.9,0.66,1.5,0.5,0.0,0.0,0.2
Ali Bagautinov,1.63,125.0,1.65,Orthodox,31.44,1985-06-10,14,5,0,1.63,125.0,1.65,4.22,0.53,4.93,0.61,2.65,0.35,0.31,0.18,0.74
Alistair Overeem,1.93,265.0,2.03,Orthodox,39.56,1980-05-17,45,18,0,1.93,265.0,2.03,3.76,0.78,4.75,0.57,0.92,0.21,0.57,0.62,0.71
Aljamain Sterling,1.7,135.0,1.8,Orthodox,29.85,1989-07-31,18,3,0,1.7,135.0,1.8,8.88,0.57,4.2,0.42,1.37,0.16,0.5,0.55,0.86
Allan Goes,1.83,205.0,1.83,Orthodox,27.07,1971-04-20,10,5,2,1.83,205.0,1.83,5.38,0.77,6.62,0.69,0.0,0.0,1.0,0.0,0.59
Allen Crowder,1.91,245.0,1.93,Orthodox,29.62,1989-11-08,10,4,0,1.91,245.0,1.93,3.24,0.43,6.29,0.53,1.47,0.33,0.0,1.47,0.71
Alonzo Menifield,1.83,205.0,1.93,Orthodox,31.7,1987-10-18,9,0,0,1.83,205.0,1.93,5.93,0.51,4.55,0.66,0.0,0.0,0.0,0.0,1.0
Alptekin Ozkilic,1.65,125.0,1.65,Orthodox,29.12,1986-03-27,9,4,0,1.65,125.0,1.65,4.6,0.36,6.16,0.42,4.21,0.58,0.25,0.0,0.69
Alvaro Herrera,1.83,155.0,1.88,0,28.21,1990-05-14,9,6,0,1.83,155.0,1.88,1.96,0.39,5.43,0.54,0.0,0.0,0.67,1.13,0.6
Alvin Robinson,1.75,155.0,1.73,Southpaw,26.34,1982-07-16,12,6,0,1.75,155.0,1.73,6.78,0.74,6.23,0.77,1.24,0.5,0.75,1.24,0.67
Amanda Cooper,1.6,115.0,1.63,Switch,27.05,1991-10-22,4,5,0,1.6,115.0,1.63,6.95,0.55,3.97,0.51,1.65,0.38,0.5,1.32,0.44
Amanda Lemos,1.63,135.0,1.65,Southpaw,32.58,1987-05-22,7,1,1,1.63,135.0,1.65,7.24,0.67,10.26,0.55,2.59,1.0,0.0,1.29,0.78
Amanda Nunes,1.73,135.0,1.75,Orthodox,31.54,1988-05-30,19,4,0,1.73,135.0,1.75,6.07,0.55,3.96,0.51,2.51,0.54,0.1,0.39,0.83
Amanda Ribas,1.6,115.0,1.68,Orthodox,26.55,1993-08-26,9,1,0,1.6,115.0,1.68,8.72,0.58,3.34,0.4,2.02,0.5,0.14,1.61,0.9
Amar Suloev,1.75,183.0,1.75,Orthodox,25.86,1976-07-01,24,7,0,1.75,183.0,1.75,1.95,0.42,3.62,0.37,0.83,1.0,0.0,0.83,0.77
Amaury Bitetti,1.75,185.0,1.75,Orthodox,15.74,1984-09-12,5,2,0,1.75,185.0,1.75,2.63,0.8,6.44,0.83,0.0,0.0,1.0,0.0,0.71
Amilcar Alves,1.83,170.0,1.83,Southpaw,22.46,1988-08-08,11,4,0,1.83,170.0,1.83,1.31,0.62,7.13,0.79,0.0,0.0,0.47,0.0,0.73
Amir Sadollah,1.78,170.0,1.88,Orthodox,34.07,1980-08-27,7,5,0,1.78,170.0,1.88,5.47,0.47,5.27,0.45,0.2,0.08,0.3,0.2,0.58
An Ying Wang,1.83,170.0,1.83,Orthodox,23.39,1991-04-04,2,2,0,1.83,170.0,1.83,1.73,0.31,8.24,0.6,0.0,0.0,1.0,0.0,0.5
Anderson Dos Santos,1.65,135.0,1.78,Orthodox,33.91,1985-07-24,20,8,0,1.65,135.0,1.78,3.77,0.34,6.17,0.47,1.0,0.2,0.2,0.5,0.71
Anderson Silva,1.88,185.0,1.96,Southpaw,44.07,1975-04-14,34,10,0,1.88,185.0,1.96,2.69,0.54,6.23,0.53,0.0,0.0,0.36,0.0,0.77
Andre Ewell,1.73,135.0,1.9,Southpaw,32.05,1988-01-21,16,6,0,1.73,135.0,1.9,4.15,0.43,6.53,0.57,0.21,0.5,0.42,0.0,0.73
Andre Fili,1.8,145.0,1.88,Orthodox,29.57,1990-06-25,20,7,0,1.8,145.0,1.88,4.86,0.38,6.1,0.55,2.14,0.39,0.07,0.24,0.74
Andre Gusmao,1.83,205.0,1.83,Orthodox,32.01,1977-05-19,6,3,0,1.83,205.0,1.83,3.5,0.48,4.7,0.48,0.0,0.0,0.4,0.0,0.67
Andre Muniz,1.85,185.0,1.98,Southpaw,29.74,1990-02-17,19,4,0,1.85,185.0,1.98,5.67,0.66,3.13,0.7,3.0,0.43,1.0,2.0,0.83
Andre Pederneiras,1.73,155.0,1.73,Orthodox,32.32,1967-03-22,1,1,2,1.73,155.0,1.73,2.59,0.65,3.81,0.46,0.0,0.0,0.0,0.0,0.25
Andre Roberts,1.88,345.0,1.88,Orthodox,34.39,1965-02-24,14,2,1,1.88,345.0,1.88,1.12,0.54,3.03,0.52,0.0,0.0,0.0,0.0,0.82
Andre Soukhamthath,1.75,135.0,1.78,Orthodox,30.85,1988-10-23,13,8,0,1.75,135.0,1.78,3.49,0.53,6.97,0.64,1.82,0.57,0.62,0.23,0.62
Andre Winner,1.8,155.0,1.85,Orthodox,29.64,1981-11-09,13,6,1,1.8,155.0,1.85,3.06,0.35,6.0,0.52,0.0,0.0,0.32,0.0,0.65
Andrea Lee,1.68,125.0,1.75,Orthodox,30.99,1989-02-11,11,4,0,1.68,125.0,1.75,6.64,0.53,5.57,0.42,1.4,0.39,0.39,0.6,0.73
Andreas Stahl,1.8,170.0,1.85,Orthodox,27.56,1988-05-20,9,2,0,1.8,170.0,1.85,4.27,0.47,5.41,0.45,1.54,0.67,0.2,0.0,0.82
Andrei Arlovski,1.91,240.0,1.96,Orthodox,40.74,1979-02-04,28,19,0,1.91,240.0,1.96,5.31,0.51,3.7,0.42,0.5,0.5,0.33,0.0,0.6
Andrei Semenov,1.83,185.0,1.83,Orthodox,24.9,1977-06-17,30,9,2,1.83,185.0,1.83,2.05,0.38,8.63,0.75,0.77,0.5,0.5,0.77,0.73
Andrew Craig,1.85,170.0,1.93,Orthodox,29.5,1986-01-15,9,4,0,1.85,170.0,1.93,5.2,0.58,4.8,0.58,0.49,0.4,0.21,0.0,0.69
Andrew Holbrook,1.8,155.0,1.78,Southpaw,31.57,1986-02-06,12,3,0,1.8,155.0,1.78,5.14,0.67,4.51,0.54,0.86,0.18,1.0,2.15,0.8
Andrew Sanchez,1.85,185.0,1.88,Orthodox,31.51,1988-04-08,12,5,0,1.85,185.0,1.88,6.0,0.47,4.78,0.48,1.22,0.23,0.0,0.0,0.71
Andy Anderson,1.68,240.0,1.68,0,20.73,1974-07-16,0,1,0,1.68,240.0,1.68,4.35,1.0,21.74,0.73,0.0,0.0,0.0,0.0,0.0
Andy Enz,1.91,185.0,1.98,Orthodox,23.46,1991-08-15,8,3,0,1.91,185.0,1.98,3.79,0.25,5.64,0.43,0.0,0.0,0.42,0.0,0.73
Andy Ogle,1.73,145.0,1.75,Orthodox,25.94,1989-02-16,9,6,0,1.73,145.0,1.75,5.93,0.68,4.39,0.66,1.56,0.4,0.42,0.0,0.6
Angela Hill,1.6,115.0,1.63,Orthodox,35.11,1985-01-12,12,7,0,1.6,115.0,1.63,6.62,0.48,5.47,0.36,0.68,0.27,0.33,0.45,0.63
Angela Magana,1.55,115.0,1.65,0,34.34,1983-08-02,11,9,0,1.55,115.0,1.65,1.78,0.45,1.78,0.45,0.0,0.0,0.0,0.0,0.55
Anistavio Medeiros,1.68,145.0,1.68,Orthodox,24.15,1988-05-01,15,8,0,1.68,145.0,1.68,3.64,0.44,5.45,0.55,0.0,0.0,0.0,0.0,0.65
Anna Elmose,1.6,115.0,1.65,Orthodox,32.12,1984-10-06,3,2,0,1.6,115.0,1.65,5.59,0.58,5.11,0.55,0.0,0.0,0.0,0.0,0.6
Ansar Chalangov,1.75,170.0,1.75,Orthodox,26.43,1979-10-30,14,4,0,1.75,170.0,1.75,0.68,0.67,2.54,0.56,0.0,0.0,1.0,7.63,0.78
Anthony Birchak,1.73,135.0,1.75,Orthodox,30.14,1986-05-16,13,3,0,1.73,135.0,1.75,6.72,0.43,3.36,0.35,0.57,0.09,0.12,0.0,0.81
Anthony Christodoulou,1.75,155.0,1.83,Orthodox,28.03,1987-07-30,12,6,0,1.75,155.0,1.83,2.9,0.33,7.27,0.6,0.0,0.0,0.6,0.0,0.67
Anthony Hamilton,1.96,260.0,1.93,Orthodox,37.6,1980-04-14,15,9,0,1.96,260.0,1.93,3.52,0.53,3.33,0.58,2.17,0.27,0.3,0.0,0.62
Anthony Hernandez,1.83,185.0,1.9,Orthodox,25.87,1993-10-18,8,1,0,1.83,185.0,1.9,6.02,0.57,6.53,0.55,5.71,0.67,0.14,0.95,0.89
Anthony Johnson,1.88,205.0,1.98,Orthodox,33.09,1984-03-06,22,6,0,1.88,205.0,1.98,3.66,0.61,5.78,0.77,2.11,0.57,0.36,0.0,0.79
Anthony Lapsley,1.75,170.0,1.8,Southpaw,34.24,1980-02-13,25,7,0,1.75,170.0,1.8,3.91,0.78,2.27,0.67,0.0,0.0,0.4,0.0,0.78
Anthony Macias,1.75,185.0,1.75,Switch,6.23,1989-04-20,26,16,0,1.75,185.0,1.75,2.4,0.86,0.0,0.0,0.0,0.0,0.4,0.0,0.62
Anthony Njokuani,1.85,155.0,1.9,Orthodox,34.59,1980-03-01,16,9,0,1.85,155.0,1.9,3.15,0.45,4.38,0.5,0.0,0.0,0.51,0.0,0.64
Anthony Perosh,1.91,205.0,1.9,Orthodox,43.11,1972-10-05,15,10,0,1.91,205.0,1.9,2.41,0.44,8.62,0.75,0.66,0.25,1.0,0.66,0.6
Anthony Pettis,1.78,155.0,1.83,Orthodox,32.98,1987-01-27,22,10,0,1.78,155.0,1.83,4.37,0.53,9.02,0.6,0.0,0.0,0.43,0.95,0.69
Anthony Rocco Martin,1.83,170.0,1.85,Orthodox,29.91,1989-12-11,17,5,0,1.83,170.0,1.85,3.34,0.37,3.06,0.48,0.0,0.0,0.26,0.89,0.77
Anthony Smith,1.93,205.0,1.93,Orthodox,30.85,1988-07-26,32,14,0,1.93,205.0,1.93,3.23,0.56,6.7,0.68,0.25,0.2,0.36,0.76,0.7
Anthony Torres,1.73,170.0,1.73,Orthodox,29.11,1978-07-31,5,2,0,1.73,170.0,1.73,9.28,0.7,9.72,0.61,0.0,0.0,0.0,2.21,0.71
Anton Kuivanen,1.73,155.0,1.83,Orthodox,28.82,1984-05-01,17,6,0,1.73,155.0,1.83,3.28,0.46,2.77,0.44,1.2,1.0,0.29,0.4,0.74
Anton Zafir,1.8,170.0,1.83,Orthodox,28.52,1987-05-10,7,3,0,1.8,170.0,1.83,6.74,0.78,2.83,0.57,3.26,0.33,0.0,0.0,0.7
Antoni Hardonk,1.93,245.0,1.98,Orthodox,33.72,1976-02-05,8,6,0,1.93,245.0,1.98,4.74,0.61,7.08,0.63,0.0,0.0,0.54,0.95,0.57
Antonina Shevchenko,1.73,125.0,1.7,Southpaw,34.7,1984-11-20,8,1,0,1.73,125.0,1.7,5.77,0.65,5.49,0.63,0.0,0.0,0.55,2.11,0.89
Antonio Arroyo,1.91,185.0,1.85,Orthodox,30.38,1989-07-01,9,3,0,1.91,185.0,1.85,3.13,0.7,3.13,0.7,1.0,1.0,1.0,0.0,0.75
Antonio Banuelos,1.65,135.0,1.6,Orthodox,31.37,1979-09-23,19,7,1,1.65,135.0,1.6,0.67,0.07,4.87,0.39,0.0,0.0,0.0,0.0,0.7
Antonio Braga Neto,1.91,185.0,1.96,Orthodox,30.11,1987-10-29,9,3,0,1.91,185.0,1.96,3.58,0.54,4.54,0.6,3.07,0.38,0.5,0.51,0.75
Antonio Carlos Junior,1.88,185.0,2.01,Orthodox,29.5,1990-03-16,11,4,0,1.88,185.0,2.01,4.46,0.61,3.68,0.6,3.14,0.43,0.67,1.26,0.73
Antonio Carvalho,1.75,145.0,1.73,Orthodox,33.8,1979-05-30,15,6,0,1.75,145.0,1.73,3.97,0.35,4.32,0.39,0.0,0.0,0.0,0.0,0.71
Antonio Dos Santos,1.78,185.0,1.83,Orthodox,26.91,1988-07-21,6,3,0,1.78,185.0,1.83,5.85,0.53,4.05,0.57,0.0,0.0,0.0,0.0,0.67
Antonio McKee,1.73,155.0,1.73,Southpaw,40.81,1970-03-12,26,5,2,1.73,155.0,1.73,2.73,0.55,1.4,0.36,1.0,0.25,0.5,0.0,0.79
Antonio Mendes,1.91,205.0,1.96,Southpaw,27.75,1981-04-19,17,10,0,1.91,205.0,1.96,2.84,0.65,13.21,0.87,2.51,0.5,0.0,0.0,0.63
Antonio Silva,1.93,264.0,2.03,Orthodox,37.03,1979-09-14,19,10,1,1.93,264.0,2.03,4.15,0.59,5.96,0.65,0.0,0.0,0.25,0.0,0.63
Ariane Carnelossi,1.57,115.0,1.55,Orthodox,26.84,1992-11-17,12,2,0,1.57,115.0,1.55,6.96,0.42,6.96,0.42,0.0,0.0,0.0,0.0,0.86
Ariane Lipski,1.68,125.0,1.7,Orthodox,25.8,1994-01-26,12,5,0,1.68,125.0,1.7,6.93,0.47,7.11,0.58,0.33,1.0,0.62,0.33,0.71
Arjan Bhullar,1.85,245.0,1.9,Orthodox,32.98,1986-05-13,9,1,0,1.85,245.0,1.9,5.19,0.69,5.04,0.51,1.73,0.75,0.5,0.0,0.9
Arman Tsarukyan,1.7,155.0,1.83,Orthodox,22.79,1996-10-11,14,2,0,1.7,155.0,1.83,5.67,0.64,2.77,0.73,1.5,0.13,0.33,0.0,0.88
Arnold Allen,1.73,145.0,1.78,Southpaw,26.01,1994-01-22,16,1,0,1.73,145.0,1.78,4.46,0.49,3.05,0.37,0.83,0.44,0.26,0.41,0.94
