name,record,height,weight,reach,stance,dob,event_name,f1_name_a,f1_name_span,f2_name_a,f2_name_span,weightclass,rounds,time,f1_result,f2_result,f1_kd,f2_kd,f1_sig_str,f2_sig_str,f1_sig_str_perc,f2_sig_str_perc,f1_tot_str,f2_tot_str,f1_td,f2_td,f1_td_perc,f2_td_perc,f1_sub_att,f2_sub_att,f1_pass,f2_pass,f1_rev,f2_rev,f1_sig_str_head,f2_sig_str_head,f1_sig_str_body,f2_sig_str_body,f1_sig_str_leg,f2_sig_str_leg,f1_sig_str_dist,f2_sig_str_dist,f1_sig_str_clinch,f2_sig_str_clinch,f1_sig_str_ground,f2_sig_str_ground
"
                Cris Cyborg

            ","
                Record: 21-2-0 (1 NC)
            ","
      5' 8""
    ","
      145 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Jul 09, 1985
      
    ","

  EliteXC - Unfinished Business

   ",Cristiane Justino ,,Shayna Baszler ,,"
      
      Catch Weight Bout
    ","
        ,
        2
      ","
        ,
        
        2:48

      ","
    W
  ","
    L
  ","
      2
    ","
      0
    ","
      52 of 105
    ","
      7 of 26
    ","
      49%
    ","
      26%
    ","
      67 of 123
    ","
      13 of 32
    ","
      0 of 0
    ","
      0 of 1
    ","
      0%
    ","
      0%
    ","
      0
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      43 of 96
    ","
      2 of 19
    ","
      6 of 6
    ","
      1 of 2
    ","
      3 of 3
    ","
      4 of 5
    ","
      29 of 64
    ","
      6 of 18
    ","
      18 of 32
    ","
      0 of 6
    ","
      5 of 9
    ","
      1 of 2
    "
"
                Mike Kyle

            ","
                Record: 19-9-1 (2 NC)
            ","
      6' 4""
    ","
      205 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Mar 31, 1980
      
    ","

  UFC 47: It's On!

   ",Mike Kyle ,,,Wes Sims,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        4:59

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      13 of 15
    ","
      0 of 2
    ","
      86%
    ","
      0%
    ","
      48 of 55
    ","
      6 of 8
    ","
      0 of 1
    ","
      0 of 1
    ","
      0%
    ","
      0%
    ","
      1
    ","
      3
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      8 of 10
    ","
      0 of 1
    ","
      1 of 1
    ","
      0 of 1
    ","
      4 of 4
    ","
      0 of 0
    ","
      2 of 3
    ","
      0 of 2
    ","
      7 of 7
    ","
      0 of 0
    ","
      4 of 5
    ","
      0 of 0
    "
"
                Chris Lytle

            ","
                Record: 31-18-5
            ","
      5' 11""
    ","
      170 lbs.
    ","
      68""
    ","
      Orthodox
    ","
      
        Aug 18, 1974
      
    ","

  UFC 28: High Stakes

   ",,Ben Earwood,,Chris Lytle,"
      
      Welterweight Bout
    ","
        ,
        2
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      5 of 9
    ","
      2 of 3
    ","
      55%
    ","
      66%
    ","
      64 of 71
    ","
      29 of 31
    ","
      2 of 2
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      0
    ","
      1
    ","
      4
    ","
      0
    ","
      0
    ","
      0
    ","
      5 of 9
    ","
      0 of 1
    ","
      0 of 0
    ","
      2 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 1
    ","
      2 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      4 of 8
    ","
      0 of 0
    "
"
                Ho Bae Myeon

            ","
                Record: 12-5-1
            ","
      5' 11""
    ","
      168 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        --
      
    ","

  DREAM 12

   ",,Marius Zaromskis,,Ho Bae Myeon,"
      
      Welterweight Bout
    ","
        ,
        1
      ","
        ,
        
        0:19

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      1 of 6
    ","
      1 of 6
    ","
      16%
    ","
      16%
    ","
      3 of 8
    ","
      1 of 6
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 6
    ","
      1 of 6
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 2
    ","
      0 of 2
    ","
      0 of 3
    ","
      1 of 4
    ","
      0 of 1
    ","
      0 of 0
    "
"
                Kennedy Nzechukwu

            ","
                Record: 7-1-0
            ","
      6' 5""
    ","
      205 lbs.
    ","
      83""
    ","
      Southpaw
    ","
      
        Jun 13, 1992
      
    ","

  UFC Fight Night: Barboza vs. Gaethje

   ",Kennedy Nzechukwu ,,Paul Craig ,,"
      ,
      Light Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        4:20

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      40 of 72
    ","
      25 of 77
    ","
      55%
    ","
      32%
    ","
      47 of 80
    ","
      31 of 83
    ","
      0 of 0
    ","
      1 of 16
    ","
      0%
    ","
      6%
    ","
      0
    ","
      2
    ","
      1
    ","
      0
    ","
      0
    ","
      1
    ","
      33 of 64
    ","
      6 of 51
    ","
      7 of 8
    ","
      13 of 20
    ","
      0 of 0
    ","
      6 of 6
    ","
      11 of 36
    ","
      21 of 71
    ","
      7 of 7
    ","
      4 of 6
    ","
      22 of 29
    ","
      0 of 0
    "
"
                Alptekin Ozkilic

            ","
                Record: 9-4-0
            ","
      5' 5""
    ","
      125 lbs.
    ","
      65""
    ","
      Orthodox
    ","
      
        Mar 27, 1986
      
    ","

  UFC on Fox: Johnson vs. Benavidez 2

   ",Darren Uyenoyama ,,Alptekin Ozkilic ,,"
      
      Flyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      33 of 71
    ","
      27 of 116
    ","
      46%
    ","
      23%
    ","
      50 of 92
    ","
      44 of 141
    ","
      2 of 10
    ","
      3 of 3
    ","
      20%
    ","
      100%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      17 of 49
    ","
      14 of 92
    ","
      8 of 13
    ","
      5 of 15
    ","
      8 of 9
    ","
      8 of 9
    ","
      25 of 63
    ","
      22 of 97
    ","
      3 of 3
    ","
      2 of 3
    ","
      5 of 5
    ","
      3 of 16
    "
"
                Mike Pyle

            ","
                Record: 27-14-1
            ","
      6' 0""
    ","
      170 lbs.
    ","
      74""
    ","
      Orthodox
    ","
      
        Sep 18, 1975
      
    ","

  WEC 17: Halloween Fury 4

   ",Mike Pyle ,,,Bret Bergmark,"
      
      Welterweight Bout
    ","
        ,
        1
      ","
        ,
        
        3:36

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      10 of 16
    ","
      10 of 19
    ","
      62%
    ","
      52%
    ","
      23 of 29
    ","
      12 of 21
    ","
      2 of 4
    ","
      1 of 1
    ","
      50%
    ","
      100%
    ","
      1
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      6 of 10
    ","
      2 of 8
    ","
      4 of 6
    ","
      2 of 3
    ","
      0 of 0
    ","
      6 of 8
    ","
      0 of 2
    ","
      0 of 5
    ","
      4 of 6
    ","
      9 of 12
    ","
      6 of 8
    ","
      1 of 2
    "
"
                Jose Quinonez

            ","
                Record: 9-4-0
            ","
      5' 8""
    ","
      135 lbs.
    ","
      69""
    ","
      
    ","
      
        Jul 28, 1990
      
    ","

  UFC 180: Werdum vs Hunt

   ",Alejandro Perez ,,Jose Quinonez ,,"
      ,
      Ultimate Fighter Latin America Bantamweight Tournament Title Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      38 of 130
    ","
      38 of 111
    ","
      29%
    ","
      34%
    ","
      43 of 135
    ","
      48 of 125
    ","
      1 of 2
    ","
      3 of 4
    ","
      50%
    ","
      75%
    ","
      1
    ","
      2
    ","
      1
    ","
      3
    ","
      0
    ","
      1
    ","
      19 of 92
    ","
      28 of 97
    ","
      3 of 5
    ","
      9 of 11
    ","
      16 of 33
    ","
      1 of 3
    ","
      38 of 126
    ","
      28 of 98
    ","
      0 of 4
    ","
      1 of 1
    ","
      0 of 0
    ","
      9 of 12
    "
"
                Casey Ryan

            ","
                Record: 3-3-0
            ","
      --
    ","
      185 lbs.
    ","
      --
    ","
      
    ","
      
        --
      
    ","

  Strikeforce - Diaz vs. Daley

   ",,Casey Ryan,,Paul Song,"
      
      Middleweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:39

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Tim Sylvia

            ","
                Record: 30-7-0 (1 NC)
            ","
      6' 8""
    ","
      265 lbs.
    ","
      80""
    ","
      Orthodox
    ","
      
        Mar 05, 1976
      
    ","

  UFC 39: The Warriors Return

   ",,Tim Sylvia,,Wesley Correira,"
      
      Heavyweight Bout
    ","
        ,
        2
      ","
        ,
        
        1:43

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      138 of 214
    ","
      26 of 65
    ","
      64%
    ","
      40%
    ","
      155 of 232
    ","
      26 of 65
    ","
      0 of 0
    ","
      0 of 1
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      115 of 186
    ","
      21 of 60
    ","
      13 of 17
    ","
      4 of 4
    ","
      10 of 11
    ","
      1 of 1
    ","
      91 of 155
    ","
      24 of 62
    ","
      47 of 59
    ","
      2 of 3
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Marcin Tybura

            ","
                Record: 18-6-0
            ","
      6' 3""
    ","
      249 lbs.
    ","
      78""
    ","
      Orthodox
    ","
      
        Nov 09, 1985
      
    ","

  UFC Fight Night: Rothwell vs Dos Santos

   ",Tim Johnson ,,Marcin Tybura ,,"
      
      Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      45 of 127
    ","
      48 of 101
    ","
      35%
    ","
      47%
    ","
      83 of 169
    ","
      75 of 128
    ","
      0 of 0
    ","
      1 of 3
    ","
      0%
    ","
      33%
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      34 of 113
    ","
      30 of 78
    ","
      6 of 9
    ","
      14 of 19
    ","
      5 of 5
    ","
      4 of 4
    ","
      33 of 111
    ","
      37 of 89
    ","
      12 of 16
    ","
      11 of 12
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Darren Uyenoyama

            ","
                Record: 8-5-0
            ","
      5' 6""
    ","
      125 lbs.
    ","
      64""
    ","
      Orthodox
    ","
      
        Oct 15, 1979
      
    ","

  Strikeforce - Young Guns 2

   ",Darren Uyenoyama ,,,Andrew Valladerez,"
      
       Bout
    ","
        ,
        1
      ","
        ,
        
        0:59

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Igor Vovchanchyn

            ","
                Record: 55-10-1 (1 NC)
            ","
      5' 8""
    ","
      205 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        Aug 06, 1973
      
    ","

  PRIDE 4

   ",,Igor Vovchanchyn,,Gary Goodridge,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        5:58

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      6 of 15
    ","
      4 of 6
    ","
      40%
    ","
      66%
    ","
      36 of 53
    ","
      8 of 10
    ","
      0 of 0
    ","
      2 of 2
    ","
      0%
    ","
      100%
    ","
      0
    ","
      0
    ","
      1
    ","
      1
    ","
      0
    ","
      1
    ","
      6 of 14
    ","
      3 of 5
    ","
      0 of 0
    ","
      1 of 1
    ","
      0 of 1
    ","
      0 of 0
    ","
      3 of 9
    ","
      2 of 3
    ","
      3 of 6
    ","
      1 of 1
    ","
      0 of 0
    ","
      1 of 2
    "
"
                Yanan Wu

            ","
                Record: 10-3-0
            ","
      5' 8""
    ","
      125 lbs.
    ","
      66""
    ","
      Orthodox
    ","
      
        Apr 18, 1996
      
    ","

  UFC Fight Night: Bisping vs. Gastelum

   ",Yanan Wu ,,Gina Mazany ,,"
      
      Women's Bantamweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      22 of 51
    ","
      38 of 65
    ","
      43%
    ","
      58%
    ","
      41 of 72
    ","
      202 of 255
    ","
      1 of 2
    ","
      5 of 7
    ","
      50%
    ","
      71%
    ","
      0
    ","
      0
    ","
      1
    ","
      1
    ","
      0
    ","
      0
    ","
      7 of 30
    ","
      23 of 46
    ","
      12 of 15
    ","
      11 of 14
    ","
      3 of 6
    ","
      4 of 5
    ","
      9 of 34
    ","
      13 of 33
    ","
      12 of 16
    ","
      17 of 23
    ","
      1 of 1
    ","
      8 of 9
    "
"
                Rubens Xavier

            ","
                Record: 5-3-0
            ","
      6' 3""
    ","
      220 lbs.
    ","
      --
    ","
      Orthodox
    ","
      
        --
      
    ","

  Predator FC 1

   ",Thiago Silva ,,,Rubens Xavier,"
      
      Heavyweight Bout
    ","
        ,
        2
      ","
        ,
        
        4:17

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      26 of 33
    ","
      11 of 26
    ","
      78%
    ","
      42%
    ","
      76 of 83
    ","
      72 of 89
    ","
      3 of 4
    ","
      2 of 5
    ","
      75%
    ","
      40%
    ","
      0
    ","
      1
    ","
      2
    ","
      0
    ","
      0
    ","
      2
    ","
      9 of 15
    ","
      6 of 20
    ","
      9 of 10
    ","
      1 of 1
    ","
      8 of 8
    ","
      4 of 5
    ","
      5 of 8
    ","
      2 of 6
    ","
      10 of 11
    ","
      1 of 2
    ","
      11 of 14
    ","
      8 of 18
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE 9: New Blood

   ",Vitor Belfort ,,,Gilbert Yvel,"
      
      Open Weight Bout
    ","
        ,
        2
      ","
        ,
        
        10:00

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      18 of 30
    ","
      2 of 5
    ","
      60%
    ","
      40%
    ","
      338 of 378
    ","
      58 of 70
    ","
      4 of 4
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      0
    ","
      0
    ","
      4
    ","
      0
    ","
      0
    ","
      0
    ","
      18 of 30
    ","
      0 of 1
    ","
      0 of 0
    ","
      1 of 3
    ","
      0 of 0
    ","
      1 of 1
    ","
      2 of 3
    ","
      2 of 5
    ","
      0 of 0
    ","
      0 of 0
    ","
      16 of 27
    ","
      0 of 0
    "
"
                Virgil Zwicker

            ","
                Record: 14-4-1
            ","
      6' 2""
    ","
      205 lbs.
    ","
      74""
    ","
      
    ","
      
        Jun 26, 1982
      
    ","

  Strikeforce Challengers 11

   ",Lavar Johnson ,,Virgil Zwicker ,,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        2:17

      ","
    W
  ","
    L
  ","
      0
    ","
      0
    ","
      26 of 60
    ","
      19 of 32
    ","
      43%
    ","
      59%
    ","
      28 of 62
    ","
      22 of 35
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      20 of 54
    ","
      6 of 17
    ","
      6 of 6
    ","
      5 of 6
    ","
      0 of 0
    ","
      8 of 9
    ","
      20 of 54
    ","
      16 of 29
    ","
      6 of 6
    ","
      3 of 3
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Virgil Zwicker

            ","
                Record: 14-4-1
            ","
      6' 2""
    ","
      205 lbs.
    ","
      74""
    ","
      
    ","
      
        Jun 26, 1982
      
    ","

  Strikeforce - Diaz vs. Daley

   ",Virgil Zwicker ,,,Brett Albee,"
      
      Heavyweight Bout
    ","
        ,
        1
      ","
        ,
        
        1:46

      ","
    W
  ","
    L
  ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"
                Virgil Zwicker

            ","
                Record: 14-4-1
            ","
      6' 2""
    ","
      205 lbs.
    ","
      74""
    ","
      
    ","
      
        Jun 26, 1982
      
    ","

  Strikeforce - Barnett vs Cormier

   ",Virgil Zwicker ,,Guto Inocente ,,"
      
      Light Heavyweight Bout
    ","
        ,
        3
      ","
        ,
        
        5:00

      ","
    L
  ","
    W
  ","
      0
    ","
      0
    ","
      48 of 110
    ","
      85 of 127
    ","
      43%
    ","
      66%
    ","
      65 of 142
    ","
      101 of 148
    ","
      3 of 11
    ","
      1 of 3
    ","
      27%
    ","
      33%
    ","
      0
    ","
      1
    ","
      0
    ","
      0
    ","
      0
    ","
      1
    ","
      25 of 81
    ","
      35 of 67
    ","
      10 of 13
    ","
      27 of 35
    ","
      13 of 16
    ","
      23 of 25
    ","
      34 of 88
    ","
      59 of 95
    ","
      13 of 21
    ","
      24 of 29
    ","
      1 of 1
    ","
      2 of 3
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE 10: Return of the Warriors

   ",,Gilbert Yvel,,Gary Goodridge,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        0:28

      ","
    W
  ","
    L
  ","
      1
    ","
      0
    ","
      1 of 1
    ","
      0 of 0
    ","
      100%
    ","
      0%
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 1
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
"
                Gilbert Yvel

            ","
                Record: 36-16-1 (1 NC)
            ","
      6' 2""
    ","
      225 lbs.
    ","
      77""
    ","
      Orthodox
    ","
      
        Jun 30, 1976
      
    ","

  PRIDE 11: Battle of the Rising Sun

   ",Wanderlei Silva ,,,Gilbert Yvel,"
      
      Open Weight Bout
    ","
        ,
        1
      ","
        ,
        
        0:21

      ","
    NC
  ","
    NC
  ","
      0
    ","
      0
    ","
      1 of 2
    ","
      1 of 3
    ","
      50%
    ","
      33%
    ","
      1 of 2
    ","
      1 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      0%
    ","
      0%
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0
    ","
      0 of 1
    ","
      0 of 2
    ","
      0 of 0
    ","
      0 of 0
    ","
      1 of 1
    ","
      1 of 1
    ","
      1 of 2
    ","
      1 of 3
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    ","
      0 of 0
    "
