name,height,weight,reach,age,dob,wins,losses,draws,str_landed_per_min,str_acc,str_absorb_per_min,str_def,td_avg,td_acc,td_def,sub_avg,win_percentage
Alan Omer,1.78,145.0,1.8,26.76,1988-09-14,18,4,0,7.28,0.68,2.83,0.38,2.57,0.5,0.25,0.0,0.82
Alan Patrick,1.8,155.0,1.88,35.22,1983-07-19,14,2,0,1.97,0.42,7.01,0.7,0.0,0.0,0.5,0.0,0.88
Albert Cheng,1.8,170.0,1.8,29.06,1985-02-07,2,3,0,1.0,0.42,3.0,0.32,0.0,0.0,,0.0,0.4
Albert Morales,1.75,135.0,1.83,26.75,1991-05-25,7,4,0,3.97,0.45,3.58,0.63,1.99,1.0,0.2,0.0,0.64
Albert Tumenov,1.8,170.0,1.85,24.79,1991-12-26,17,3,0,2.61,0.4,2.38,0.35,0.0,,0.3,0.0,0.85
Alberta Cerra Leon,1.73,238.0,1.73,10.77,1983-06-02,0,0,0,0.91,0.82,2.03,0.91,0.0,,1.0,0.0,
Alberto Crane,1.65,155.0,1.65,31.53,1976-07-14,15,4,0,1.73,0.33,5.35,0.56,0.0,0.0,0.5,4.34,0.79
Alberto Mina,1.83,170.0,1.96,36.03,1982-05-02,12,1,0,1.07,0.18,3.6,0.54,1.0,0.2,0.5,0.0,0.92
Alberto Uda,1.91,185.0,1.96,32.03,1984-08-08,9,1,0,4.67,0.78,11.11,0.74,3.33,0.5,1.0,0.0,0.9
Alejandro Perez,1.68,135.0,1.7,29.84,1989-09-02,21,8,1,0.48,0.07,3.86,0.4,0.0,,,0.0,0.7
Aleksa Camur,1.85,205.0,1.88,24.32,1995-09-25,5,0,0,5.87,0.51,4.0,0.41,1.0,0.5,,0.0,1.0
Aleksandar Rakic,1.93,205.0,1.98,27.87,1992-02-06,11,2,0,5.8,0.54,7.87,0.59,1.0,0.11,,1.0,0.85
Aleksei Kunchenko,1.73,170.0,1.78,35.87,1984-05-02,19,2,0,6.47,0.62,4.93,0.44,0.0,,0.5,0.0,0.9
Aleksei Oleinik,1.88,240.0,2.03,42.58,1977-06-20,57,13,1,2.6,0.54,3.95,0.7,4.67,1.0,,4.67,0.8
Alen Amedovski,1.78,185.0,1.88,31.48,1988-04-06,8,1,0,7.14,0.18,17.86,0.62,0.0,,,0.0,0.89
Alessandro Ricci,1.8,155.0,1.75,34.59,1982-07-21,10,4,0,4.44,0.36,4.86,0.32,0.0,,,0.0,0.71
Alessio Di Chirico,1.83,185.0,1.88,29.79,1989-12-12,12,3,0,2.47,0.32,3.73,0.33,0.0,0.0,0.0,0.0,0.8
Alessio Sakara,1.83,185.0,1.83,32.15,1981-09-02,19,11,0,8.97,0.8,6.73,0.6,4.81,1.0,1.0,0.0,0.63
Alex Andrade,1.8,200.0,1.8,26.07,1974-05-14,10,4,0,5.24,0.67,2.8,0.8,0.0,0.0,,0.0,0.71
Alex Caceres,1.78,145.0,1.85,31.08,1988-06-20,15,11,0,6.33,0.48,5.8,0.36,0.0,,1.0,0.0,0.58
Alex Chambers,1.6,115.0,1.6,39.91,1978-10-25,4,5,0,2.96,0.44,7.41,0.56,0.0,,1.0,0.0,0.44
Alex Da Silva,1.73,155.0,1.85,23.51,1996-02-04,21,1,0,5.87,0.68,3.93,0.64,3.0,0.75,0.0,0.0,0.95
Alex Garcia,1.75,170.0,1.83,31.29,1987-07-14,14,6,0,2.6,0.53,7.4,0.72,1.0,0.25,0.33,0.0,0.7
Alex Gorgees,1.88,155.0,1.88,23.31,1995-08-11,7,0,0,1.47,0.51,6.87,0.75,0.0,,0.45,0.0,1.0
Alex Hunter,1.75,226.0,1.75,8.82,1988-12-22,1,0,0,1.67,0.59,2.17,0.72,1.25,0.2,1.0,0.0,1.0
Alex Karalexis,1.73,155.0,1.68,28.32,1977-09-20,10,5,0,3.1,0.45,4.43,0.56,1.33,0.2,0.0,3.99,0.67
Alex Morono,1.8,170.0,1.83,29.48,1990-08-16,16,6,0,2.22,0.25,22.22,0.59,0.0,,0.0,0.0,0.73
Alex Nicholson,1.93,185.0,2.06,27.07,1990-05-02,7,3,0,1.5,0.5,19.5,0.83,0.0,,1.0,7.5,0.7
Alex Oliveira,1.8,170.0,1.93,32.04,1988-02-21,18,8,1,4.07,0.62,4.13,0.65,1.0,0.2,0.67,0.0,0.67
Alex Perez,1.68,125.0,1.65,27.85,1992-03-21,22,5,0,6.27,0.7,0.78,0.15,5.88,1.0,,5.88,0.81
Alex Reyes,1.8,170.0,1.85,30.96,1986-10-02,13,2,0,4.55,0.46,8.33,0.61,0.0,,,0.0,0.87
Alex Soto,1.73,135.0,1.8,28.25,1984-02-15,6,1,1,3.07,0.25,5.2,0.42,3.0,0.3,,0.0,0.75
Alex Stiebling,1.88,205.0,1.88,17.0,1983-11-17,18,10,1,3.8,0.9,6.8,0.87,0.0,,0.5,1.5,0.62
Alex Torres,1.78,145.0,1.78,26.75,1988-05-29,2,1,0,2.67,0.39,4.07,0.39,2.0,0.22,0.5,0.0,0.67
Alex White,1.83,155.0,1.8,31.01,1988-10-22,12,6,0,4.4,0.45,4.87,0.53,0.0,0.0,1.0,0.0,0.67
Alexa Grasso,1.65,115.0,1.68,26.12,1993-08-09,10,3,0,6.87,0.61,7.67,0.73,0.0,0.0,0.36,1.0,0.77
Alexander Gustafsson,1.96,205.0,2.01,32.38,1987-01-15,17,6,0,4.14,0.48,2.89,0.48,0.85,0.33,0.0,0.0,0.74
Alexander Hernandez,1.75,155.0,1.83,26.8,1992-10-01,10,2,0,1.73,0.28,1.87,0.51,0.0,0.0,,0.0,0.83
Alexander Volkanovski,1.68,145.0,1.8,31.21,1988-09-29,20,1,0,6.28,0.52,5.4,0.44,0.0,0.0,,0.0,0.95
Alexander Volkov,2.01,250.0,2.03,31.04,1988-10-24,30,7,0,5.73,0.57,3.4,0.36,0.0,,0.0,0.0,0.81
Alexander Yakovlev,1.91,155.0,1.88,35.31,1984-07-18,24,8,1,2.53,0.54,3.73,0.44,3.0,0.38,,0.0,0.73
Alexandra Albu,1.57,115.0,1.6,29.28,1990-07-14,6,2,0,5.13,0.45,7.47,0.68,1.0,0.33,0.17,0.0,0.75
Alexandre Barros,1.75,170.0,1.75,32.16,1976-11-19,18,7,0,1.6,0.52,6.26,0.72,1.84,0.5,0.0,0.0,0.72
Alexandre Dantas,1.88,238.0,1.88,24.0,1979-03-01,0,1,0,0.21,0.25,2.7,0.46,0.0,0.0,,3.11,0.0
Alexandre Ferreira,1.7,205.0,1.7,31.55,1979-04-25,18,5,0,3.86,0.69,14.16,0.69,0.0,0.0,1.0,0.0,0.78
Alexandre Pantoja,1.65,125.0,1.7,29.68,1990-04-16,21,4,0,8.41,0.56,8.18,0.51,3.5,1.0,0.0,0.0,0.84
Alexis Davis,1.68,125.0,1.73,34.81,1984-10-04,18,10,0,8.93,0.63,5.27,0.49,0.0,0.0,1.0,0.0,0.64
Alexis Dufresne,1.75,135.0,1.73,24.34,1990-08-31,5,3,0,2.2,0.27,5.73,0.39,0.0,0.0,,0.0,0.62
Alfonso Alcarez,1.6,145.0,1.6,29.29,1970-06-10,1,3,0,6.9,0.68,6.9,0.66,1.5,0.5,0.0,0.0,0.25
Ali Bagautinov,1.63,125.0,1.65,31.44,1985-06-10,13,5,0,3.2,0.49,7.67,0.71,2.0,0.33,0.44,0.0,0.72
Alistair Overeem,1.93,265.0,2.03,39.56,1980-05-17,44,18,0,4.05,0.75,4.37,0.48,1.2,0.2,,0.0,0.71
Aljamain Sterling,1.7,135.0,1.8,29.85,1989-07-31,17,3,0,11.67,0.5,7.2,0.4,0.0,0.0,,0.0,0.85
Allan Goes,1.83,205.0,1.83,27.07,1971-04-20,10,4,2,5.38,0.77,6.62,0.69,0.0,,1.0,0.0,0.62
Allen Crowder,1.91,245.0,1.93,29.62,1989-11-08,10,3,0,0.0,0.0,26.67,1.0,0.0,,,0.0,0.77
Alonzo Menifield,1.83,205.0,1.93,31.7,1987-10-18,8,0,0,2.41,0.35,6.33,0.75,0.0,,0.0,0.0,1.0
Alptekin Ozkilic,1.65,125.0,1.65,29.12,1986-03-27,8,4,0,5.62,0.45,5.42,0.45,3.01,0.33,0.0,0.0,0.67
Alvaro Herrera,1.83,155.0,1.88,28.21,1990-05-14,8,6,0,3.74,0.3,6.42,0.46,0.0,,0.0,0.0,0.57
Alvin Robinson,1.75,155.0,1.73,26.34,1982-07-16,12,5,0,3.09,0.77,8.89,0.78,0.0,0.0,1.0,0.0,0.71
Amanda Cooper,1.6,115.0,1.63,27.05,1991-10-22,3,5,0,4.47,0.55,3.93,0.52,2.0,0.33,0.5,2.0,0.38
Amanda Lemos,1.63,135.0,1.65,32.58,1987-05-22,7,0,1,3.76,0.78,1.34,0.56,4.03,1.0,,4.03,0.88
Amanda Nunes,1.73,135.0,1.75,31.54,1988-05-30,18,4,0,7.96,0.59,5.04,0.72,4.8,0.73,,1.2,0.82
Amanda Ribas,1.6,115.0,1.68,26.55,1993-08-26,8,1,0,11.53,0.68,3.73,0.57,1.0,0.33,1.0,2.0,0.89
Amar Suloev,1.75,183.0,1.75,25.86,1976-07-01,24,6,0,3.02,0.6,6.38,0.58,5.03,1.0,0.0,5.03,0.8
Amaury Bitetti,1.75,185.0,1.75,15.74,1984-09-12,5,1,0,2.8,0.8,2.8,0.8,0.0,,,0.0,0.83
Amilcar Alves,1.83,170.0,1.83,22.46,1988-08-08,11,3,0,1.67,0.62,7.6,0.8,0.0,0.0,0.33,0.0,0.79
Amir Sadollah,1.78,170.0,1.88,34.07,1980-08-27,7,4,0,4.2,0.51,6.27,0.57,0.0,,0.4,0.0,0.64
An Ying Wang,1.83,170.0,1.83,23.39,1991-04-04,1,2,0,0.41,0.29,13.66,0.75,0.0,,1.0,0.0,0.33
Anderson Dos Santos,1.65,135.0,1.78,33.91,1985-07-24,20,7,0,4.2,0.39,4.93,0.43,2.0,0.22,,0.0,0.74
Anderson Silva,1.88,185.0,1.96,44.07,1975-04-14,33,10,0,1.67,0.53,3.77,0.56,0.0,,,0.0,0.77
Andre Ewell,1.73,135.0,1.9,32.05,1988-01-21,15,6,0,5.67,0.46,4.93,0.49,0.0,,0.0,0.0,0.71
Andre Fili,1.8,145.0,1.88,29.57,1990-06-25,19,7,0,3.73,0.37,6.0,0.51,3.0,0.43,,0.0,0.73
Andre Gusmao,1.83,205.0,1.83,32.01,1977-05-19,6,2,0,5.49,0.53,5.49,0.36,0.0,,,0.0,0.75
Andre Muniz,1.85,185.0,1.98,29.74,1990-02-17,18,4,0,5.67,0.66,3.13,0.7,3.0,0.43,1.0,2.0,0.82
Andre Pederneiras,1.73,155.0,1.73,32.32,1967-03-22,1,0,2,2.59,0.65,3.81,0.46,0.0,0.0,,0.0,0.33
Andre Roberts,1.88,345.0,1.88,34.39,1965-02-24,13,2,1,3.86,0.52,9.47,0.51,0.0,,,0.0,0.81
Andre Soukhamthath,1.75,135.0,1.78,30.85,1988-10-23,13,7,0,1.8,0.36,6.87,0.61,0.0,0.0,1.0,0.0,0.65
Andre Winner,1.8,155.0,1.85,29.64,1981-11-09,12,6,1,1.13,0.15,7.87,0.55,0.0,0.0,0.67,0.0,0.63
Andrea Lee,1.68,125.0,1.75,30.99,1989-02-11,10,4,0,7.13,0.39,7.13,0.47,0.0,0.0,0.5,1.0,0.71
Andreas Stahl,1.8,170.0,1.85,27.56,1988-05-20,9,1,0,3.17,0.4,11.09,0.63,6.79,1.0,,0.0,0.9
Andrei Arlovski,1.91,240.0,1.96,40.74,1979-02-04,27,19,0,8.33,0.44,10.42,0.56,0.0,,,0.0,0.59
Andrei Semenov,1.83,185.0,1.83,24.9,1977-06-17,29,9,2,0.4,0.11,12.53,0.82,1.2,0.5,1.0,1.2,0.72
Andrew Craig,1.85,170.0,1.93,29.5,1986-01-15,8,4,0,2.78,0.24,7.42,0.56,0.0,,,0.0,0.67
Andrew Holbrook,1.8,155.0,1.78,31.57,1986-02-06,11,3,0,4.92,0.41,9.62,0.49,0.0,0.0,,0.0,0.79
Andrew Sanchez,1.85,185.0,1.88,31.51,1988-04-08,11,5,0,2.6,0.21,5.73,0.42,0.0,0.0,,0.0,0.69
Andy Anderson,1.68,240.0,1.68,20.73,1974-07-16,0,0,0,4.35,1.0,21.74,0.73,0.0,0.0,,0.0,
Andy Enz,1.91,185.0,1.98,23.46,1991-08-15,8,2,0,0.52,0.04,10.88,0.54,0.0,,,0.0,0.8
Andy Ogle,1.73,145.0,1.75,25.94,1989-02-16,9,5,0,0.0,,46.15,0.86,0.0,,,0.0,0.64
Angela Hill,1.6,115.0,1.63,35.11,1985-01-12,12,6,0,4.67,0.43,4.53,0.44,1.0,0.25,1.0,1.0,0.67
Angela Magana,1.55,115.0,1.65,34.34,1983-08-02,11,8,0,1.78,0.45,1.78,0.45,0.0,0.0,0.0,0.0,0.58
Anistavio Medeiros,1.68,145.0,1.68,24.15,1988-05-01,15,7,0,3.64,0.44,5.45,0.55,0.0,,,0.0,0.68
Anna Elmose,1.6,115.0,1.65,32.12,1984-10-06,3,1,0,4.87,0.53,4.87,0.53,0.0,,,0.0,0.75
Ansar Chalangov,1.75,170.0,1.75,26.43,1979-10-30,14,3,0,0.57,0.5,1.72,0.4,0.0,,1.0,4.31,0.82
Anthony Birchak,1.73,135.0,1.75,30.14,1986-05-16,13,1,0,6.73,0.58,2.33,0.36,0.0,,0.17,0.0,0.93
Anthony Christodoulou,1.75,155.0,1.83,28.03,1987-07-30,12,5,0,3.47,0.35,7.58,0.59,0.0,,0.33,0.0,0.71
Anthony Hamilton,1.96,260.0,1.93,37.6,1980-04-14,15,8,0,2.93,0.59,2.93,0.59,2.0,0.22,0.22,0.0,0.65
Anthony Hernandez,1.83,185.0,1.9,25.87,1993-10-18,8,0,0,7.67,0.57,8.7,0.55,9.33,0.67,,1.55,1.0
Anthony Johnson,1.88,205.0,1.98,33.09,1984-03-06,21,6,0,2.55,0.61,9.86,0.88,1.74,0.33,0.5,0.0,0.78
Anthony Lapsley,1.75,170.0,1.8,34.24,1980-02-13,25,6,0,0.51,0.2,0.51,0.2,0.0,0.0,0.0,0.0,0.81
Anthony Macias,1.75,185.0,1.75,6.23,1989-04-20,26,15,0,,,,,,,,,0.63
Anthony Njokuani,1.85,155.0,1.9,34.59,1980-03-01,16,8,0,2.93,0.46,3.6,0.47,0.0,0.0,0.5,0.0,0.67
Anthony Perosh,1.91,205.0,1.9,43.11,1972-10-05,15,9,0,2.39,0.21,6.48,0.56,0.0,,,0.0,0.62
Anthony Pettis,1.78,155.0,1.83,32.98,1987-01-27,21,10,0,4.14,0.55,6.35,0.58,0.0,,0.43,0.0,0.68
Anthony Rocco Martin,1.83,170.0,1.85,29.91,1989-12-11,17,4,0,3.2,0.32,2.87,0.41,0.0,,0.0,2.0,0.81
Anthony Smith,1.93,205.0,1.93,30.85,1988-07-26,32,13,0,2.89,0.48,2.89,0.48,0.0,0.0,0.0,0.85,0.71
Anthony Torres,1.73,170.0,1.73,29.11,1978-07-31,4,2,0,6.71,0.67,11.03,0.61,0.0,,0.0,0.0,0.67
Anton Kuivanen,1.73,155.0,1.83,28.82,1984-05-01,17,5,0,2.41,0.33,1.2,0.17,0.0,,0.2,0.0,0.77
Anton Zafir,1.8,170.0,1.83,28.52,1987-05-10,7,2,0,6.74,0.78,2.83,0.57,3.26,0.33,,0.0,0.78
Antoni Hardonk,1.93,245.0,1.98,33.72,1976-02-05,7,6,0,3.87,0.4,4.13,0.47,0.0,0.0,,0.0,0.54
Antonina Shevchenko,1.73,125.0,1.7,34.7,1984-11-20,8,0,0,5.69,0.82,1.9,0.5,0.0,,0.2,7.11,1.0
Antonio Arroyo,1.91,185.0,1.85,30.38,1989-07-01,9,2,0,3.13,0.7,3.13,0.7,1.0,1.0,1.0,0.0,0.82
Antonio Banuelos,1.65,135.0,1.6,31.37,1979-09-23,19,6,1,0.67,0.07,4.87,0.39,0.0,,,0.0,0.73
Antonio Braga Neto,1.91,185.0,1.96,30.11,1987-10-29,8,3,0,2.09,0.3,6.18,0.64,2.41,0.4,,0.0,0.73
Antonio Carlos Junior,1.88,185.0,2.01,29.5,1990-03-16,10,4,0,5.4,0.55,2.73,0.48,3.0,0.38,,0.0,0.71
Antonio Carvalho,1.75,145.0,1.73,33.8,1979-05-30,15,5,0,4.19,0.42,6.13,0.32,0.0,,0.0,0.0,0.75
Antonio Dos Santos,1.78,185.0,1.83,26.91,1988-07-21,6,2,0,4.53,0.54,4.18,0.71,0.0,0.0,0.0,0.0,0.75
Antonio McKee,1.73,155.0,1.73,40.81,1970-03-12,26,4,2,2.73,0.55,1.4,0.36,1.0,0.25,0.5,0.0,0.81
Antonio Mendes,1.91,205.0,1.96,27.75,1981-04-19,17,9,0,2.51,0.82,16.48,0.88,0.0,,0.0,0.0,0.65
Antonio Silva,1.93,264.0,2.03,37.03,1979-09-14,19,9,1,5.02,0.57,4.14,0.56,0.0,0.0,0.0,0.0,0.66
Ariane Carnelossi,1.57,115.0,1.55,26.84,1992-11-17,12,1,0,6.96,0.42,6.96,0.42,0.0,0.0,0.0,0.0,0.92
Ariane Lipski,1.68,125.0,1.7,25.8,1994-01-26,12,4,0,11.67,0.78,6.0,0.7,0.0,,0.67,1.0,0.75
Arjan Bhullar,1.85,245.0,1.9,32.98,1986-05-13,8,1,0,4.6,0.73,7.13,0.5,2.0,1.0,,0.0,0.89
Arman Tsarukyan,1.7,155.0,1.83,22.79,1996-10-11,14,1,0,7.33,0.63,2.4,0.59,2.0,0.18,0.0,0.0,0.93
Arnold Allen,1.73,145.0,1.78,26.01,1994-01-22,15,1,0,4.53,0.5,4.2,0.33,0.0,0.0,0.0,0.0,0.94
Art Jimmerson,1.85,196.0,1.85,30.28,1963-08-04,0,0,0,0.0,,1.74,0.57,0.0,,1.0,0.0,
Artem Lobov,1.75,145.0,1.65,32.21,1986-08-11,14,14,1,4.47,0.35,6.73,0.45,0.0,,1.0,0.0,0.48
Asbel Cancio,1.78,225.0,1.78,17.18,1978-01-30,0,0,0,0.0,,34.29,0.67,0.0,,1.0,0.0,
Ashkan Mokhtarian,1.68,125.0,1.7,32.18,1985-09-15,13,2,0,3.4,0.42,3.72,0.49,0.0,0.0,0.0,0.0,0.87
Ashlee Evans-Smith,1.73,125.0,1.7,31.61,1987-07-09,6,3,0,4.73,0.31,4.73,0.31,2.0,0.2,0.2,0.0,0.67
Ashley Yoder,1.7,115.0,1.75,32.02,1987-10-20,7,4,0,5.47,0.55,6.27,0.59,2.0,0.33,0.0,0.0,0.64
Askar Askarov,1.68,125.0,1.7,27.28,1992-10-09,11,0,0,6.4,0.55,5.73,0.55,0.0,0.0,0.27,0.0,1.0
Aspen Ladd,1.68,135.0,1.68,24.77,1995-03-01,8,1,0,8.06,0.62,8.72,0.71,2.84,0.67,,0.0,0.89
Assuerio Silva,1.78,241.0,1.78,32.84,1974-06-18,15,7,0,5.73,0.83,6.47,0.66,6.0,0.5,,0.0,0.68
Augusto Mendes,1.68,135.0,1.65,34.12,1983-03-03,6,1,0,5.07,0.52,5.07,0.52,0.0,0.0,0.0,0.0,0.86
Augusto Montano,1.85,170.0,1.85,31.9,1984-10-25,14,3,0,5.03,0.47,8.24,0.56,0.0,,0.75,0.0,0.82
Augusto Sakai,1.91,265.0,1.96,28.35,1991-05-09,13,1,1,15.31,0.56,6.12,0.86,0.0,,,0.0,0.87
Austin Arnett,1.83,145.0,1.83,27.3,1991-10-22,16,5,0,5.2,0.37,8.07,0.39,0.0,,0.0,0.0,0.76
Austin Hubbard,1.78,155.0,1.8,28.21,1991-12-22,11,3,0,3.0,0.57,1.33,0.31,0.0,,0.67,0.0,0.79
Austin Lingo,1.78,145.0,1.78,25.58,1994-07-10,7,0,0,1.07,0.24,3.27,0.61,1.0,1.0,0.5,0.0,1.0
Azamat Gashimov,1.68,125.0,1.68,23.11,1990-04-07,10,2,0,1.31,0.21,7.52,0.5,0.0,0.0,,0.0,0.83
BJ Penn,1.75,155.0,1.78,40.41,1978-12-13,15,14,2,4.93,0.39,7.53,0.47,0.0,,0.5,0.0,0.48
Bart Palaszewski,1.75,145.0,1.78,29.35,1983-05-30,34,17,0,3.0,0.35,4.53,0.46,0.0,,0.5,2.0,0.67
Bartosz Fabinski,1.83,170.0,1.9,32.56,1986-04-26,13,3,0,0.97,0.2,25.24,0.81,0.0,,1.0,0.0,0.81
Bas Rutten,1.85,205.0,1.85,34.2,1965-02-24,27,4,1,13.92,0.93,4.31,0.49,0.0,,1.0,1.15,0.84
Bea Malecki,1.75,135.0,1.88,28.56,1991-08-23,3,0,0,12.67,0.58,7.07,0.39,0.0,,0.0,0.0,1.0
Bec Rawlings,1.68,125.0,1.63,29.15,1989-02-11,6,8,0,5.93,0.45,5.93,0.45,0.0,,,0.0,0.43
Belal Muhammad,1.8,170.0,1.83,31.16,1988-07-09,16,2,0,6.54,0.53,2.85,0.36,2.52,0.22,0.5,1.26,0.89
Ben Askren,1.8,170.0,1.85,35.27,1984-07-18,18,2,0,7.34,0.61,6.04,0.61,4.32,0.57,,0.0,0.9
Ben Earwood,1.73,170.0,1.73,11.44,1989-06-08,11,3,0,6.4,0.9,2.9,0.94,3.0,1.0,,0.0,0.79
Ben Nguyen,1.65,125.0,1.65,30.33,1988-08-03,16,8,0,3.53,0.42,2.73,0.33,0.0,,0.41,0.0,0.67
Ben Rothwell,1.93,265.0,1.98,38.14,1981-10-17,37,11,0,7.14,0.62,6.33,0.72,0.0,0.0,0.0,0.0,0.77
Ben Saunders,1.88,170.0,1.96,36.67,1983-04-13,21,13,2,3.83,0.78,4.03,0.68,0.0,,0.67,6.05,0.58
Ben Sosoli,1.83,265.0,1.83,30.2,1989-12-10,7,3,0,3.4,0.29,12.93,0.56,0.0,,,0.0,0.7
Ben Wall,1.78,155.0,1.85,25.13,1989-03-25,7,1,1,1.87,0.33,8.21,0.79,0.0,,0.0,0.0,0.78
Beneil Dariush,1.78,155.0,1.83,30.84,1989-05-06,17,4,1,2.83,0.61,4.5,0.73,2.5,0.33,,5.0,0.77
Benito Lopez,1.78,135.0,1.85,25.27,1994-04-06,9,1,0,3.6,0.41,4.47,0.45,0.0,,,0.0,0.9
Benji Radach,1.78,185.0,1.78,23.48,1979-04-05,21,7,0,8.43,0.77,3.51,0.88,0.0,,0.2,0.0,0.75
Benny Alloway,1.8,170.0,1.9,32.52,1981-02-19,12,6,0,2.31,0.77,2.78,0.63,0.0,,0.67,0.0,0.67
Benson Henderson,1.75,170.0,1.78,32.03,1983-11-16,22,5,0,5.52,0.69,8.68,0.7,1.8,0.25,0.2,0.0,0.81
Bentley Syler,1.63,125.0,1.73,32.24,1982-12-22,5,0,0,2.16,0.28,1.73,0.2,0.0,,0.25,0.0,1.0
Bernardo Magalhaes,1.75,155.0,1.65,31.17,1981-04-08,11,2,0,1.73,0.2,1.2,0.12,0.0,0.0,,1.0,0.85
Besam Yousef,1.8,170.0,1.8,28.03,1985-03-25,6,1,0,9.47,0.77,4.6,0.71,2.0,0.67,0.67,0.0,0.86
Bethe Correia,1.65,135.0,1.63,36.25,1983-06-22,10,4,1,5.13,0.53,6.27,0.51,0.0,0.0,0.2,0.0,0.67
Bevon Lewis,1.91,185.0,2.01,28.73,1991-05-05,7,1,0,6.27,0.64,3.67,0.56,0.0,0.0,,0.0,0.88
Bharat Kandare,1.7,135.0,1.83,30.43,1987-06-20,5,2,0,0.7,0.1,2.11,0.3,0.0,0.0,,0.0,0.71
Bill Mahood,1.91,200.0,1.91,38.34,1967-02-01,20,6,1,0.87,1.0,13.91,0.97,0.0,,1.0,0.0,0.74
Billy Quarantillo,1.78,145.0,1.78,31.0,1988-12-08,12,2,0,16.75,0.84,0.72,0.67,1.81,1.0,,9.04,0.86
Blagoy Ivanov,1.8,250.0,1.85,33.07,1986-10-09,18,2,0,4.07,0.73,2.13,0.46,3.0,0.5,0.33,1.0,0.9
